Pump_ID,Temperature,Vibration,Pressure,Flow_Rate,RPM,Operational_Hours,Maintenance_Flag,Failure_Flag
2,95.41,2.563,198.03,8.219,1872,2042.4,0,0
2,91.24,2.461,199.88,7.816,1847,2062.6,0,0
2,91.08,2.598,208.87,8.199,1822,2082.8,0,0
2,90.81,2.485,218.27,8.601,1847,2103.0,0,0
2,90.46,2.612,208.45,9.022,1872,2123.2,0,0
2,90.04,2.647,217.83,9.464,1897,2143.5,0,0
2,93.6,2.768,208.03,9.0,1872,2163.7,0,0
2,93.06,2.888,217.39,8.559,1847,2183.9,0,0
2,92.49,2.916,227.17,8.14,1822,2204.1,0,0
2,91.94,2.754,237.39,8.539,1847,2224.4,0,0
2,91.41,2.859,248.08,8.12,1840,2244.6,0,0
2,90.94,2.695,236.91,8.518,1815,2264.8,0,0
2,90.53,2.796,247.57,8.101,1840,2285.0,0,0
2,90.21,2.903,236.43,8.406,1865,2305.2,0,0
2,86.1,2.741,225.79,7.994,1890,2325.5,0,0
2,89.87,2.593,215.63,8.386,1915,2345.7,0,0
2,93.75,2.707,225.34,8.797,1940,2365.9,0,0
2,93.86,2.573,215.2,8.366,1965,2386.1,0,0
2,94.09,2.699,222.8,8.776,1990,2406.3,0,0
2,94.42,2.579,212.77,9.163,1965,2426.6,0,0
2,94.85,2.47,222.35,9.612,1965,2446.8,0,0
2,91.39,2.37,212.34,9.141,1990,2467.0,0,0
2,95.89,2.507,202.79,9.589,2015,2487.2,0,0
2,92.47,2.654,193.66,9.119,2040,2507.5,0,0
2,89.02,2.809,202.38,8.672,2015,2527.7,0,0
2,93.58,2.7,193.27,8.247,1990,2547.9,0,0
2,98.15,2.853,201.97,7.843,1965,2568.1,0,0
2,98.61,3.011,211.06,8.228,1940,2588.3,0,0
2,99.0,3.17,201.56,8.631,1965,2608.6,0,0
2,99.29,3.33,192.49,9.054,1940,2628.8,0,0
2,99.47,3.17,183.83,9.497,1965,2649.0,0,0
2,99.53,3.315,175.55,9.032,1940,2669.2,0,0
2,99.48,3.141,183.45,9.474,1915,2689.4,0,0
2,99.31,2.97,175.2,9.01,1940,2709.7,0,0
2,89.13,2.16,183.08,8.569,1965,2729.9,1,0
2,98.66,3.057,183.08,8.569,1965,2750.1,0,0
2,98.2,3.027,183.08,8.569,1965,2770.3,0,0
2,97.68,2.997,183.08,8.569,1965,2790.6,0,0
2,97.12,2.969,183.08,8.569,1965,2810.8,0,0
2,96.53,2.946,183.08,8.569,1965,2831.0,0,0
2,95.95,2.928,183.08,8.569,1965,2851.2,0,0
2,91.45,2.777,174.84,8.989,1940,2871.4,0,0
2,94.9,2.641,182.71,9.15,1915,2891.7,0,0
2,94.47,2.518,174.49,9.598,1940,2911.9,0,0
2,94.12,2.65,166.64,9.128,1915,2932.1,0,0
2,93.88,2.794,159.14,8.681,1904,2952.3,0,0
2,93.76,2.952,166.3,9.106,1879,2972.5,0,0
2,93.75,3.075,173.78,8.66,1904,2992.8,0,0
2,93.85,3.255,181.6,8.236,1929,3013.0,0,0
2,90.18,3.13,189.78,8.639,1904,3033.2,0,0
2,90.49,3.159,189.78,8.639,1904,3053.4,0,0
2,90.89,3.185,189.78,8.639,1904,3073.7,0,0
2,91.36,3.206,189.78,8.639,1904,3093.9,0,0
2,91.88,3.22,189.78,8.639,1904,3114.1,0,0
2,92.43,3.227,189.78,8.639,1904,3134.3,0,0
2,88.98,3.204,198.32,9.062,1929,3154.5,0,0
2,89.5,3.042,189.39,9.506,1904,3174.8,0,0
2,89.99,3.172,197.91,9.972,1879,3195.0,0,0
2,90.42,3.301,189.01,9.484,1854,3215.2,0,0
2,90.78,3.116,197.51,9.019,1879,3235.4,0,0
2,91.05,3.234,188.63,9.461,1854,3255.6,0,0
2,91.22,3.355,197.11,9.924,1829,3275.9,0,0
2,91.29,3.482,205.98,10.411,1804,3296.1,0,0
2,91.25,3.349,215.25,9.901,1829,3316.3,0,0
2,86.99,3.164,205.57,9.415,1804,3336.5,0,0
2,82.66,2.995,214.51,9.437,1779,3356.8,0,0
2,86.43,2.842,204.86,9.461,1804,3377.0,0,0
2,90.1,2.703,195.64,9.925,1829,3397.2,0,0
2,93.67,2.838,186.83,10.411,1854,3417.4,0,0
2,93.13,2.988,180.69,9.901,1829,3437.6,0,0
2,92.58,2.866,188.82,10.386,1854,3457.9,0,0
2,92.02,3.029,197.32,10.895,1879,3478.1,0,0
2,91.49,2.911,188.44,10.361,1904,3498.3,0,0
2,91.0,3.082,196.92,9.853,1929,3518.5,0,0
2,90.58,2.963,188.06,9.37,1954,3538.7,0,0
2,90.25,2.847,179.6,8.911,1979,3559.0,0,0
2,93.9,2.732,187.68,9.348,1975,3579.2,0,0
2,93.76,2.856,179.23,8.89,1950,3599.4,0,0
2,93.74,2.73,187.3,9.326,1975,3619.6,0,0
2,93.84,2.603,178.87,8.869,2000,3639.9,0,0
2,94.05,2.726,174.2,8.434,2025,3660.1,0,0
2,98.28,2.588,166.36,8.021,2000,3680.3,0,0
2,94.78,2.45,158.87,7.628,1975,3700.5,0,0
2,95.27,2.316,151.72,7.254,2000,3720.7,0,0
2,95.81,2.406,144.9,7.609,2025,3741.0,0,0
2,96.38,2.268,151.42,7.982,2050,3761.2,0,0
2,96.97,2.353,144.6,8.373,2075,3781.4,0,0
2,97.54,2.218,151.11,7.963,2083,3801.6,0,0
2,98.07,2.093,144.52,7.573,2058,3821.8,0,0
2,102.63,2.177,151.03,7.202,2033,3842.1,0,0
2,107.14,2.27,157.82,7.555,2008,3862.3,0,0
2,103.36,2.154,164.92,7.925,1983,3882.5,0,0
2,103.57,2.05,157.5,8.313,1958,3902.7,0,0
2,103.65,2.153,164.59,8.721,1983,3923.0,0,0
2,103.61,2.06,157.18,8.293,2008,3943.2,0,0
2,103.46,2.111,164.26,8.7,1983,3963.4,0,0
2,104.84,2.232,171.65,9.126,2008,3983.6,0,0
2,100.37,2.361,179.37,9.573,1983,4003.8,0,0
2,95.84,2.271,187.44,9.104,2008,4024.1,0,0
2,95.34,2.293,187.44,9.104,2008,4044.3,0,0
2,94.8,2.314,187.44,9.104,2008,4064.5,0,0
2,94.23,2.332,187.44,9.104,2008,4084.7,0,0
2,93.66,2.346,187.44,9.104,2008,4104.9,0,0
2,93.12,2.355,187.44,9.104,2008,4125.2,0,0
2,92.62,2.358,187.44,9.104,2008,4145.4,0,0
2,92.19,2.356,187.44,9.104,2008,4165.6,0,0
2,95.74,2.461,179.01,8.698,2033,4185.8,0,0
2,95.48,2.564,170.95,8.272,2008,4206.1,0,0
2,95.33,2.667,178.65,8.217,1983,4226.3,0,0
2,95.3,2.77,186.69,8.62,1958,4246.5,0,0
2,95.4,2.612,195.09,9.042,1983,4266.7,0,0
2,95.6,2.71,203.87,8.599,2008,4286.9,0,0
2,95.92,2.555,213.04,8.178,1983,4307.2,0,0
2,96.33,2.411,203.45,8.579,2008,4327.4,0,0
2,96.82,2.509,194.3,8.158,1983,4347.6,0,0
2,97.36,2.376,185.55,7.759,1958,4367.8,0,0
2,97.95,2.37,185.55,7.759,1958,4388.0,0,0
2,98.54,2.37,185.55,7.759,1958,4408.3,0,0
2,99.13,2.376,185.55,7.759,1958,4428.5,0,0
2,99.67,2.388,185.55,7.759,1958,4448.7,0,0
2,100.16,2.405,185.55,7.759,1958,4468.9,0,0
2,100.57,2.426,185.55,7.759,1958,4489.2,0,0
2,105.0,2.568,193.9,8.139,1933,4509.4,0,0
2,105.21,2.594,193.9,8.139,1933,4529.6,0,0
2,105.31,2.619,193.9,8.139,1933,4549.8,0,0
2,105.28,2.643,193.9,8.139,1933,4570.0,0,0
2,105.13,2.662,193.9,8.139,1933,4590.3,0,0
2,100.76,2.757,202.63,8.538,1908,4610.5,0,0
2,104.48,2.899,211.75,8.956,1883,4630.7,0,0
2,108.08,3.041,202.22,8.517,1858,4650.9,0,0
2,103.48,3.183,211.32,8.934,1883,4671.1,0,0
2,102.89,3.019,220.83,9.372,1908,4691.4,0,0
2,102.27,3.145,223.3,9.831,1883,4711.6,0,0
2,101.65,3.015,233.35,10.313,1871,4731.8,0,0
2,101.06,2.844,222.84,9.808,1846,4752.0,0,0
2,104.45,2.681,212.82,10.288,1821,4772.3,0,0
2,107.87,2.781,222.39,10.793,1802,4792.5,0,0
2,107.46,2.755,222.39,10.793,1802,4812.7,0,0
2,107.16,2.731,222.39,10.793,1802,4832.9,0,0
2,106.98,2.713,222.39,10.793,1802,4853.1,0,0
2,106.94,2.7,222.39,10.793,1802,4873.4,0,0
2,103.15,2.564,212.39,10.264,1827,4893.6,0,0
2,103.37,2.688,221.94,9.761,1852,4913.8,0,0
2,103.7,2.567,231.93,10.239,1877,4934.0,0,0
2,104.14,2.705,221.49,9.737,1902,4954.2,0,0
2,104.66,2.594,211.53,9.26,1927,4974.5,0,0
2,105.25,2.743,221.05,9.714,1902,4994.7,0,0
2,105.88,2.903,211.1,9.238,1927,5014.9,0,0
2,106.52,3.073,220.6,9.691,1952,5035.1,0,0
2,107.15,2.954,210.67,9.216,1977,5055.4,0,0
2,107.75,3.118,201.19,8.764,2002,5075.6,0,0
2,108.28,2.99,204.2,8.335,2027,5095.8,0,0
2,108.73,2.862,213.39,7.926,2002,5116.0,0,0
2,109.08,2.733,222.99,7.538,1977,5136.2,0,0
2,109.32,2.866,212.96,7.169,2002,5156.5,0,0
2,109.43,2.861,212.96,7.169,2002,5176.7,0,0
2,109.41,2.85,212.96,7.169,2002,5196.9,0,0
2,109.26,2.832,212.96,7.169,2002,5217.1,0,0
2,108.99,2.81,212.96,7.169,2002,5237.3,0,0
2,108.6,2.784,212.96,7.169,2002,5257.6,0,0
2,104.05,2.624,222.54,7.52,1981,5277.8,0,0
2,103.52,2.598,222.54,7.52,1981,5298.0,0,0
2,102.93,2.573,222.54,7.52,1981,5318.2,0,0
2,102.32,2.552,222.54,7.52,1981,5338.5,0,0
2,101.7,2.535,222.54,7.52,1981,5358.7,0,0
2,101.1,2.524,222.54,7.52,1981,5378.9,0,0
2,100.56,2.519,222.54,7.52,1981,5399.1,0,0
2,100.08,2.521,222.54,7.52,1981,5419.3,0,0
2,99.68,2.53,222.54,7.52,1981,5439.6,0,0
2,89.46,1.781,222.54,7.52,1981,5459.8,1,0
2,99.23,2.563,222.54,7.52,1981,5480.0,0,0
2,99.18,2.587,222.54,7.52,1981,5500.2,0,0
2,99.26,2.613,222.54,7.52,1981,5520.4,0,0
2,99.46,2.639,222.54,7.52,1981,5540.7,0,0
2,99.77,2.665,222.54,7.52,1981,5560.9,0,0
2,100.18,2.687,222.54,7.52,1981,5581.1,0,0
2,104.62,2.836,212.53,7.151,2006,5601.3,0,0
2,105.2,2.851,212.53,7.151,2006,5621.6,0,0
2,105.83,2.859,212.53,7.151,2006,5641.8,0,0
2,106.47,2.86,212.53,7.151,2006,5662.0,0,0
2,107.11,2.854,212.53,7.151,2006,5682.2,0,0
2,107.71,2.841,212.53,7.151,2006,5702.4,0,0
2,108.25,2.823,212.53,7.151,2006,5722.7,0,0
2,104.61,2.665,202.96,6.801,2031,5742.9,0,0
2,100.85,2.514,212.1,7.134,2006,5763.1,0,0
2,105.19,2.608,202.55,7.484,2031,5783.3,0,0
2,101.18,2.458,211.67,7.851,2056,5803.5,0,0
2,97.05,2.318,221.19,8.235,2081,5823.8,0,0
2,92.82,2.41,231.15,7.832,2106,5844.0,0,0
2,96.7,2.51,220.74,7.448,2081,5864.2,0,0
2,96.36,2.62,210.81,7.083,2056,5884.4,0,0
2,95.94,2.741,201.32,6.736,2031,5904.7,0,0
2,95.46,2.613,192.26,7.066,2006,5924.9,0,0
2,94.92,2.748,183.61,6.72,2031,5945.1,0,0
2,94.35,2.632,175.35,7.049,2056,5965.3,0,0
2,93.78,2.78,183.24,7.394,2081,5985.5,0,0
2,97.19,2.941,191.49,7.757,2056,6005.8,0,0
2,92.72,3.113,200.1,8.137,2031,6026.0,0,0
2,88.36,2.993,209.11,7.738,2006,6046.2,0,0
2,88.01,2.877,218.52,8.117,2031,6066.4,0,0
2,87.75,3.04,208.68,7.72,2006,6086.6,0,0
2,87.59,3.208,199.29,8.098,1981,6106.9,0,0
2,87.54,3.068,208.26,8.495,2006,6127.1,0,0
2,87.6,2.928,198.89,8.078,1981,6147.3,0,0
2,87.77,3.069,189.94,7.683,1956,6167.5,0,0
2,91.94,3.208,198.49,8.059,1931,6187.8,0,0
2,92.32,3.04,207.42,8.454,1956,6208.0,0,0
2,92.77,2.874,216.75,8.868,1981,6228.2,0,0
2,93.28,2.987,207.0,9.303,2006,6248.4,0,0
2,93.84,3.101,216.31,9.758,1981,6268.6,0,0
2,94.41,3.218,206.58,9.28,1956,6288.9,0,0
2,94.97,3.135,197.28,8.826,1931,6309.1,0,0
2,91.45,2.957,206.16,9.258,1956,6329.3,0,0
2,91.91,2.793,196.88,9.712,1981,6349.5,0,0
2,92.31,2.643,188.02,9.236,2006,6369.7,0,0
2,92.62,2.517,196.49,8.783,1981,6390.0,0,0
2,92.83,2.634,187.64,9.214,1956,6410.2,0,0
2,96.4,2.512,196.09,8.762,1931,6430.4,0,0
2,96.4,2.643,204.91,8.66,1906,6450.6,0,0
2,96.29,2.532,195.69,9.084,1931,6470.9,0,0
2,96.06,2.43,204.5,9.53,1956,6491.1,0,0
2,95.74,2.335,213.7,9.997,1981,6511.3,0,0
2,95.33,2.286,222.55,9.507,1956,6531.5,0,0
2,94.85,2.42,232.56,9.973,1931,6551.7,0,0
2,94.31,2.325,222.09,9.484,1906,6572.0,0,0
2,93.75,2.232,212.1,9.019,1881,6592.2,0,0
2,93.19,2.354,202.56,9.461,1906,6612.4,0,0
2,92.64,2.478,211.67,9.925,1881,6632.6,0,0
2,92.13,2.364,220.63,9.438,1856,6652.8,0,0
2,91.68,2.477,210.71,8.976,1881,6673.1,0,0
2,91.31,2.351,220.19,8.536,1906,6693.3,0,0
2,91.03,2.227,210.28,8.954,1881,6713.5,0,0
2,94.74,2.318,200.82,8.516,1856,6733.7,0,0
2,98.56,2.408,209.85,8.933,1831,6754.0,0,0
2,98.62,2.5,219.3,9.371,1856,6774.2,0,0
2,98.8,2.368,209.43,9.83,1831,6794.4,0,0
2,99.1,2.457,218.85,10.311,1806,6814.6,0,0
2,99.49,2.318,209.0,10.817,1781,6834.8,0,0
2,99.98,2.411,218.41,10.287,1806,6855.1,0,0
2,100.53,2.282,228.24,10.791,1831,6875.3,0,0
2,102.04,2.384,217.97,10.262,1856,6895.5,0,0
2,106.66,2.267,208.16,9.759,1831,6915.7,0,0
2,107.3,2.272,208.16,9.759,1831,6935.9,0,0
2,107.91,2.282,208.16,9.759,1831,6956.2,0,0
2,108.46,2.297,208.16,9.759,1831,6976.4,0,0
2,108.93,2.316,208.16,9.759,1831,6996.6,0,0
2,109.31,2.338,208.16,9.759,1831,7016.8,0,0
2,109.57,2.362,208.16,9.759,1831,7037.1,0,0
2,109.7,2.385,208.16,9.759,1831,7057.3,0,0
2,105.59,2.523,217.53,9.281,1806,7077.5,0,0
2,109.59,2.421,227.31,9.736,1831,7097.7,0,0
2,109.34,2.319,217.09,9.259,1856,7117.9,0,0
2,108.98,2.441,207.32,9.712,1831,7138.2,0,0
2,108.52,2.562,216.65,10.188,1856,7158.4,0,0
2,107.98,2.683,226.39,9.689,1831,7178.6,0,0
2,103.34,2.547,236.58,9.214,1806,7198.8,0,0
2,102.73,2.655,247.23,9.666,1831,7219.0,0,0
2,102.11,2.762,236.1,10.139,1856,7239.3,0,0
2,101.51,2.87,225.48,9.642,1831,7259.5,0,0
2,100.95,2.978,215.33,9.17,1856,7279.7,0,0
2,104.37,3.09,225.02,8.721,1831,7299.9,0,0
2,100.04,2.913,214.9,8.293,1806,7320.2,0,0
2,103.62,2.748,223.41,8.7,1831,7340.4,0,0
2,103.41,2.597,213.35,9.126,1806,7360.6,0,0
2,103.33,2.707,203.75,9.573,1831,7380.8,0,0
2,103.39,2.829,212.92,10.042,1856,7401.0,0,0
2,103.57,2.963,222.5,9.55,1831,7421.3,0,0
2,103.87,2.827,212.49,9.082,1806,7441.5,0,0
2,108.19,2.977,202.93,9.527,1831,7461.7,0,0
2,112.65,2.854,193.8,9.06,1856,7481.9,0,0
2,113.26,2.74,202.52,8.766,1881,7502.1,0,0
2,113.93,2.899,193.4,8.336,1856,7522.4,0,0
2,114.62,2.788,184.7,8.744,1831,7542.6,0,0
2,115.31,2.951,186.65,8.316,1806,7562.8,0,0
2,115.97,3.121,179.83,8.723,1781,7583.0,0,0
2,116.56,3.296,171.74,9.151,1806,7603.3,0,0
2,117.08,3.475,179.47,9.599,1781,7623.5,0,0
2,117.49,3.404,187.55,9.129,1806,7643.7,0,0
2,121.89,3.573,179.11,9.325,1831,7663.9,0,0
2,122.06,3.569,179.11,9.325,1831,7684.1,0,0
2,122.07,3.557,179.11,9.325,1831,7704.4,0,0
2,121.95,3.537,179.11,9.325,1831,7724.6,0,0
2,121.68,3.51,179.11,9.325,1831,7744.8,0,0
2,121.29,3.479,179.11,9.325,1831,7765.0,0,0
2,124.86,3.611,187.17,8.868,1806,7785.2,0,0
2,124.24,3.446,195.59,8.434,1781,7805.5,0,0
2,123.55,3.576,204.39,8.847,1756,7825.7,0,0
2,122.83,3.375,195.19,8.413,1731,7845.9,0,0
2,122.08,3.512,203.98,8.007,1756,7866.1,0,0
2,125.32,3.661,194.8,8.399,1781,7886.4,0,0
2,128.56,3.827,203.56,7.988,1806,7906.6,0,0
2,130.12,4.011,194.4,7.596,1831,7926.8,0,0
2,125.68,3.828,203.15,7.968,1856,7947.0,0,0
2,125.28,3.848,203.15,7.968,1856,7967.2,0,0
2,125.02,3.875,203.15,7.968,1856,7987.5,0,0
2,124.91,3.909,203.15,7.968,1856,8007.7,0,0
2,124.97,3.947,203.15,7.968,1856,8027.9,0,0
2,125.17,3.987,203.15,7.968,1856,8048.1,0,0
2,121.63,3.833,212.29,7.578,1831,8068.3,0,0
2,125.41,3.682,221.18,7.207,1856,8088.6,0,0
2,129.93,3.888,215.88,7.56,1854,8108.8,0,0
2,134.59,3.722,206.17,7.93,1879,8129.0,0,0
2,135.38,3.735,206.17,7.93,1879,8149.2,0,0
2,136.21,3.739,206.17,7.93,1879,8169.5,0,0
2,123.32,2.614,206.17,7.93,1879,8189.7,1,0
2,137.81,3.72,206.17,7.93,1879,8209.9,0,0
2,138.52,3.698,206.17,7.93,1879,8230.1,0,0
2,139.14,3.67,206.17,7.93,1879,8250.3,0,0
2,139.64,3.636,206.17,7.93,1879,8270.6,0,0
2,140.0,3.601,206.17,7.93,1879,8290.8,0,0
2,140.2,3.565,206.17,7.93,1879,8311.0,0,0
2,136.11,3.361,215.44,8.319,1904,8331.2,0,0
2,135.98,3.172,205.75,8.726,1879,8351.4,0,0
2,135.7,2.999,202.07,8.299,1854,8371.7,0,0
2,135.27,3.128,192.98,8.705,1879,8391.9,0,0
2,134.71,2.972,184.3,9.132,1904,8412.1,0,0
2,134.05,2.83,192.59,8.959,1929,8432.3,0,0
2,133.31,2.702,183.92,8.52,1904,8452.6,0,0
2,132.53,2.847,178.19,8.103,1879,8472.8,0,0
2,127.74,2.73,170.17,8.5,1871,8493.0,0,0
2,123.02,2.623,177.83,8.916,1896,8513.2,0,0
2,122.33,2.776,169.82,9.353,1921,8533.4,0,0
2,121.71,2.669,177.47,9.811,1946,8553.7,0,0
2,121.2,2.566,185.45,9.331,1921,8573.9,0,0
2,120.8,2.713,193.8,8.873,1896,8594.1,0,0
2,120.54,2.601,202.52,9.308,1921,8614.3,0,0
2,120.43,2.741,211.63,9.764,1896,8634.5,0,0
2,120.47,2.617,221.15,10.243,1921,8654.8,0,0
2,116.77,2.494,211.2,10.745,1946,8675.0,0,0
2,113.2,2.37,201.7,10.5,1921,8695.2,0,0
2,109.71,2.247,210.77,9.986,1896,8715.4,0,0
2,110.23,2.34,220.26,10.475,1871,8735.7,0,0
2,110.82,2.21,210.35,9.962,1881,8755.9,0,0
2,111.47,2.085,219.81,9.474,1906,8776.1,0,0
2,112.15,2.163,209.92,9.009,1931,8796.3,0,0
2,112.82,2.039,200.48,9.451,1906,8816.5,0,0
2,109.42,2.116,191.45,8.988,1881,8836.8,0,0
2,114.07,1.998,182.84,8.547,1856,8857.0,0,0
2,114.58,1.89,191.07,8.966,1881,8877.2,0,0
2,115.0,1.972,182.47,8.527,1856,8897.4,0,0
2,115.3,1.873,174.26,8.109,1831,8917.6,0,0
2,115.48,1.785,166.42,8.506,1806,8937.9,0,0
2,115.51,1.705,173.9,8.923,1781,8958.1,0,0
2,115.41,1.632,181.73,9.36,1756,8978.3,0,0
2,115.18,1.724,173.55,8.902,1731,8998.5,0,0
2,114.83,1.656,167.4,8.466,1706,9018.8,0,0
2,118.44,1.753,159.87,8.88,1731,9039.0,0,0
2,117.87,1.77,159.87,8.88,1731,9059.2,0,0
2,117.22,1.788,159.87,8.88,1731,9079.4,0,0
2,116.53,1.803,159.87,8.88,1731,9099.6,0,0
2,115.83,1.816,159.87,8.88,1731,9119.9,0,0
2,115.14,1.825,159.87,8.88,1731,9140.1,0,0
2,114.49,1.83,159.87,8.88,1731,9160.3,0,0
2,113.91,1.831,159.87,8.88,1731,9180.5,0,0
2,113.42,1.827,159.87,8.88,1731,9200.7,0,0
2,109.15,1.906,167.06,9.316,1706,9221.0,0,0
2,108.9,1.985,159.54,8.859,1681,9241.2,0,0
2,108.79,2.063,166.72,9.293,1656,9261.4,0,0
2,108.82,1.946,159.22,8.838,1681,9281.6,0,0
2,108.98,1.834,152.05,9.271,1706,9301.9,0,0
2,109.27,1.903,149.69,9.725,1731,9322.1,0,0
2,109.68,1.976,156.43,9.249,1756,9342.3,0,0
2,106.26,2.054,163.46,9.009,1731,9362.5,0,0
